Name,Tag,Role,Donations,Donations Received,Trophies,War Stars
Mechanikus,#2YC8G2QRG,member,1001,656,5112,
Surrea,#GLRPQC8GR,leader,333,1016,4982,
jonz,#G80Q2PR9P,admin,5226,2581,4938,
but jason,#GQ0YG0CLV,admin,1887,2860,4884,
smileformyarrow,#20RR8QLPU,admin,924,1185,4862,
TheChyz,#GPCLLP9VV,admin,997,4410,4781,
CjGwapo03,#LCGYGU02Y,member,28,0,4703,
DUPES7099,#9PUY99Y0,member,11,389,4689,
Banana,#JYQ2GLYC,coLeader,2611,2516,4626,
east,#G80ULVLLP,admin,666,1599,4508,
scrip,#GQQLUCCC9,admin,162,661,4394,
tpcstld,#QUY0VV290,admin,0,731,4298,
Number♪Theory,#YRQLY9YQ0,admin,205,33,4204,
Algebra,#G29QC88PR,admin,450,186,4086,
Ccgh,#GQ8G9YU9J,admin,464,590,4061,
xśłåŷēr69,#YRYPY9GRL,member,214,748,4058,
azeer,#G9VCQLG2L,admin,5606,1001,4040,
dollarplus,#G90QVQULV,admin,1495,865,3991,
Jelmazmo,#98LJCLUP,admin,1813,2882,3981,
Andy_24,#Q8GYGCYRY,admin,297,0,3929,
ceeepz,#2LGVR8JP0,admin,1677,1979,3809,
chandana,#LV2QUU8RJ,member,714,1434,3704,
Jasmac v2,#LLGQPRC20,member,0,0,3647,
Downtown,#22YL2QGP,member,0,0,3644,
Al Ain800,#Y0R9C808,member,0,0,3622,
CrAzY_TiMmY,#VC9QVU98,admin,1892,0,3611,
mcpihl,#2YQJVUGRG,member,239,0,3430,
alexsor,#2JJR982QG,admin,983,509,3424,
king,#GLPQC2RU0,member,0,0,3282,
curve,#LRQQ2GQRQ,member,0,0,3273,
lay lay sentral,#QPJPCJUYP,member,42,77,3096,
SgtShavedBall,#9JYJYPLRJ,member,841,0,3081,
Duncan,#GQGY0JVPY,admin,1109,0,2760,
Mur_Step,#J9PRJR9,member,0,0,2679,
thanos,#QVQQR20JV,admin,1569,1033,2433,
MrPhoenixTY,#2RUJPY2LR,member,30,582,2236,
gerxxi,#80V8UJYP,member,841,199,2191,
Yassen,#Q89JRG9PY,member,40,0,2121,
DuFrizzle,#GGY89U2JJ,admin,170,139,2008,
The Phenomenal,#Y9RJ9PC8L,member,0,131,1891,
Geometry,#GJJG0JGQV,member,8,864,1845,
Luey,#L9GGLRJ92,member,0,66,1637,
Royal Champion,#G2JVPUUJL,member,0,132,1522,
